Code,N°,English Name,Nom français,Alias,Age,Date,In langtags,Region,Lang,Notes,Default Font,Default Features,WSTech primary,NLCI,Microsoft,Other,Noto Sans,Noto Serif,WSTech secondary
Soyo,329,Soyombo,soyombo,Soyombo,10,2017-07-26,y,,,,Noto Sans Soyombo,,,,,,Noto Sans Soyombo,,
Sund,362,Sundanese,sundanais,Sundanese,5.1,2007-07-02,y,,,,Noto Sans Sundanese,,,,,,Noto Sans Sundanese,,
Sylo,316,Syloti Nagri,sylotî nâgrî,Syloti_Nagri,4.1,2006-06-21,y,,,,Surma,,Surma,,,,Noto Sans Syloti Nagri,,
Syrc,135,Syriac,syriaque,Syriac,3,2004-05-01,y,,,,Noto Sans Syriac,,,,,,Noto Sans Syriac,,
Syre,138,Syriac (Estrangelo variant),syriaque (variante estranghélo),,3,2004-05-01,,,,,,,,,,,,,
Syrj,137,Syriac (Western variant),syriaque (variante occidentale),,3,2004-05-01,y,,,,Noto Sans Syriac,,,,,,Noto Sans Syriac,,
Syrn,136,Syriac (Eastern variant),syriaque (variante orientale),,3,2004-05-01,,,,,Noto Sans Syriac Eastern,,,,,,Noto Sans Syriac Eastern,,
Tagb,373,Tagbanwa,tagbanoua,Tagbanwa,3.2,2004-05-01,y,,,,Noto Sans Tagbanwa,,,,,,Noto Sans Tagbanwa,,
Takr,321,"Takri, Ṭākrī, Ṭāṅkrī",tâkrî,Takri,6.1,2012-02-06,y,,,,Noto Sans Takri,,,,,,Noto Sans Takri,,
Tale,353,Tai Le,taï-le,Tai_Le,4,2004-10-25,y,,,,Noto Sans Tai Le,,,,,,Noto Sans Tai Le,,
Talu,354,New Tai Lue,nouveau taï-lue,New_Tai_Lue,4.1,2006-06-21,y,,,,Nokyung,,Nokyung,,,,Noto Sans New Tai Lue,,Dai Banna SIL
Taml,346,Tamil,tamoul,Tamil,1.1,2004-05-01,y,,,,ThiruValluvar,,,ThiruValluvar,,,Noto Sans Tamil,Noto Serif Tamil,
Tang,520,Tangut,tangoute,Tangut,9,2016-12-05,y,,,,Noto Serif Tangut,,,,,,,Noto Serif Tangut,
Tavt,359,Tai Viet,taï viêt,Tai_Viet,5.2,2009-06-01,y,,,,Tai Heritage Pro,,Tai Heritage Pro,,,,Noto Sans Tai Viet,,
Telu,340,Telugu,télougou,Telugu,1.1,2004-05-01,y,,,,Noto Sans Telugu,,,,,,Noto Sans Telugu,Noto Serif Telugu,
Teng,290,Tengwar,tengwar,,,2004-05-01,,,,,,,,,,,,,
Tfng,120,Tifinagh (Berber),tifinagh (berbère),Tifinagh,4.1,2006-06-21,y,MA,,,Noto Sans Tifinagh,,,,Ebrima,,Noto Sans Tifinagh,,
Tglg,370,"Tagalog (Baybayin, Alibata)","tagal (baybayin, alibata)",Tagalog,3.2,2009-02-23,y,,,,Noto Sans Tagalog,,,,,,Noto Sans Tagalog,,
Thaa,170,Thaana,thâna,Thaana,3,2004-05-01,y,,,,Noto Sans Thaana,,,,,,Noto Sans Thaana,,
Thai,352,Thai,thaï,Thai,1.1,2004-05-01,y,,,,TH SarabunPSK,,,,,TH SarabunPSK,Noto Sans Thai,Noto Serif Thai,
Tibt,330,Tibetan,tibétain,Tibetan,2,2004-05-01,y,,,,Noto Serif Tibetan,,,,,,,Noto Serif Tibetan,
Tnsa,275,Tangsa,tangsa,,14,2021-02-17,y,,,,Noto Sans Tangsa,,,,,,Noto Sans Tangsa,,
Tirh,326,Tirhuta,tirhouta,Tirhuta,7,2014-11-15,y,,,,Noto Sans Tirhuta,,,,,,Noto Sans Tirhuta,,
Toto,294,Toto,toto,,14,2020-04-16,y,,,,Noto Serif Toto,,,,,,,Noto Serif Toto,
Ugar,40,Ugaritic,ougaritique,Ugaritic,4,2004-05-01,y,,,,Noto Sans Ugaritic,,,,,,Noto Sans Ugaritic,,
Vaii,470,Vai,vaï,Vai,5.1,2007-07-02,y,,,,Dukor,,Dukor,,Ebrima,,Noto Sans Vai,,
Visp,280,Visible Speech,parole visible,,,2004-05-01,,,,,,,,,,,,,
Vith,228,,Vithkuqi,vithkuqi,14,2021-02-17,y,,,,Noto Sans Vithkuqi,,,,,,Noto Sans Vithkuqi,Noto Serif Vithkuqi,
Wara,262,Warang Citi (Varang Kshiti),warang citi,Warang_Citi,7,2014-11-15,y,,,,Noto Sans Warang Citi,,,,,,Noto Sans Warang Citi,,
Wcho,283,Wancho,wantcho,Wancho,12,2017-07-26,,,,,Noto Sans Wancho,,,,,,Noto Sans Wancho,,
Wole,480,Woleai,woléaï,,,2010-12-21,y,,,,,,,,,,,,
Xpeo,30,Old Persian,cunéiforme persépolitain,Old_Persian,4.1,2006-06-21,y,,,,Noto Sans Old Persian,,,,,,Noto Sans Old Persian,,
Xsux,20,"Cuneiform, Sumero-Akkadian",cunéiforme suméro-akkadien,Cuneiform,5,2006-10-10,y,,,,Noto Sans Cuneiform,,,,,,Noto Sans Cuneiform,,
Yezi,192,Yezidi,yézidi,Yezidi,13,2019-08-19,y,,,,Noto Serif Yezidi,,,,,,,Noto Serif Yezidi,
Yiii,460,Yi,yi,Yi,3,2004-05-01,y,,,,Nuosu SIL,,Nuosu SIL,,,,Noto Sans Yi,,
Zanb,339,"Zanabazar Square (Zanabazarin Dörböljin Useg, Xewtee Dörböljin Bicig, Horizontal Square Script)",zanabazar quadratique,Zanabazar_Square,10,2017-07-26,,,,,Noto Sans Zanabazar Square,,,,,,Noto Sans Zanabazar Square,,
Zinh,994,Code for inherited script,codet pour écriture héritée,Inherited,,2009-02-23,,,,,,,,,,,,,
Zmth,995,Mathematical notation,notation mathématique,,3.2,2007-11-26,,,,,,,,,,,,,
Zsye,993,Symbols (Emoji variant),symboles (variante émoji),,6,2015-12-16,,,,,,,,,,,,,
Zsym,996,Symbols,symboles,,1.1,2007-11-26,,,,,,,,,,,,,
Zxxx,997,Code for unwritten documents,codet pour les documents non écrits,,,2011-06-21,y,,,,,,,,,,,,
Zyyy,998,Code for undetermined script,codet pour écriture indéterminée,Common,,2004-05-29,y,,,,,,,,,,,,
Zzzz,999,Code for uncoded script,codet pour écriture non codée,Unknown,,2006-10-10,,,,,,,,,,,,,
